"ID del Tweet","Enlace permanente de Tweet","Texto del Tweet","hora","impresiones","interacciones","tasa de interacción","retweets","respuestas","me gusta","clics de perfil de usuario","clics en URL","clics de etiquetas","ampliaciones de detalles","clics en enlaces permanentes","Se abre la aplicación","descargas de app","seguimientos","enviar Tweet por correo electrónico","marcar teléfono","visualizaciones multimedia","interacciones con el contenido multimedia","impresiones promocionado","interacciones promocionado","tasa de interacción promocionado","retweets promocionado","respuestas promocionado","me gusta promocionado","clics de perfil de usuario promocionado","clics en URL promocionado","clics de etiquetas promocionado","ampliaciones de detalles promocionado","clics en enlaces permanentes promocionado","Se abre la aplicación promocionado","descargas de app promocionado","seguimientos promocionado","enviar Tweet por correo electrónico promocionado","marcar teléfono promocionado","visualizaciones multimedia promocionado","interacciones con el contenido multimedia promocionado"
"1452132580892020738","https://twitter.com/rdvillal/status/1452132580892020738","Debo reconocer que este troleo estuvo bueno https://t.co/wLH35VCd5v","2021-10-24 04:39 +0000","132.0","1.0","0.007575757575757576","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1452131199896465417","https://twitter.com/rdvillal/status/1452131199896465417","Andábamos sin buscarnos pero sabiendo que andábamos para encontrarnos @Sara_Serran0","2021-10-24 04:33 +0000","165.0","22.0","0.13333333333333333","0.0","1.0","2.0","6.0","0.0","0.0","13.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1452073950289215490","https://twitter.com/rdvillal/status/1452073950289215490","Hoy cumple años el gran Charly García. Hay que escucharlo más, siempre.","2021-10-24 00:46 +0000","98.0","1.0","0.01020408163265306","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1452014111508815874","https://twitter.com/rdvillal/status/1452014111508815874","Octubre es el aire acondicionado arruinado de El Salvador","2021-10-23 20:48 +0000","205.0","8.0","0.03902439024390244","1.0","0.0","5.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1452011314541469700","https://twitter.com/rdvillal/status/1452011314541469700","No sé si fue una imprudencia haber nombrado “El nido del águila” uno de los repositorios de trabajo compartido que tengo, sin embargo resalto que es parte de la soberanía que me corresponde y del poder que ostento","2021-10-23 20:37 +0000","80.0","1.0","0.0125","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1452009474567331844","https://twitter.com/rdvillal/status/1452009474567331844","Hablar de la trazabilidad del Bitcoin es la nueva inmortalidad del cangrejo 🦀","2021-10-23 20:30 +0000","101.0","3.0","0.0297029702970297","0.0","0.0","2.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1451382173362270219","https://twitter.com/rdvillal/status/1451382173362270219","@AlexisGS007 Más respeto para el honorable pueblo salvadoreño por favor","2021-10-22 02:57 +0000","40.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1451375817246773249","https://twitter.com/rdvillal/status/1451375817246773249","@Elmer_333 Y ahora van contra los sacerdotes jesuitas como el mismísimo DAbuisson, por gente así mataron a Monseñor Romero y a Rutilio Grande. Quien no conoce su historia está condenado a repetirla","2021-10-22 02:32 +0000","194.0","8.0","0.041237113402061855","1.0","0.0","5.0","0.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1451036911649316864","https://twitter.com/rdvillal/status/1451036911649316864","Para proteger al mundo de la devastación y unir a los pueblos dentro de nuestra nación. Para denunciar los males de la verdad y el amor. Y extender nuestro reino hacia las estrellas. La Bancada Cyan viajando a la velocidad de la luz, ríndanse ahora o prepárense para luchar. https://t.co/5soqOVpoEG","2021-10-21 04:05 +0000","145.0","2.0","0.013793103448275862","0.0","0.0","0.0","1.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1451013986632278021","https://twitter.com/rdvillal/status/1451013986632278021","@GabrielCuellar Haciendo el ridículo a todas luces","2021-10-21 02:34 +0000","267.0","4.0","0.0149812734082397","0.0","0.0","1.0","1.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1450664585384579073","https://twitter.com/rdvillal/status/1450664585384579073","La Chivo Wallet es el invierno ruso del golondrinismo","2021-10-20 03:26 +0000","224.0","10.0","0.044642857142857144","0.0","1.0","2.0","0.0","0.0","0.0","7.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1450661402990022656","https://twitter.com/rdvillal/status/1450661402990022656","@GVichez @alfredinsky Suena al fondo Coco Jamboo","2021-10-20 03:13 +0000","245.0","2.0","0.00816326530612245","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1450626193871495174","https://twitter.com/rdvillal/status/1450626193871495174","Puse un tuit de burla relacionado a la Chivo Wallet y enseguida me cayeron dos respuestas de cuentas falsas de soporte intentando engañarme. Es oficial: estamos en el salvaje Oeste","2021-10-20 00:53 +0000","276.0","36.0","0.13043478260869565","0.0","2.0","5.0","6.0","0.0","0.0","23.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1450618353299636227","https://twitter.com/rdvillal/status/1450618353299636227","Este policía bien pudo ser el reclutador del juego del calamar y no supieron aprovecharlo https://t.co/9lvJnEP8h4","2021-10-20 00:22 +0000","169.0","3.0","0.01775147928994083","0.0","0.0","2.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1450617626770694152","https://twitter.com/rdvillal/status/1450617626770694152","Nadie:
Absolutamente nadie:

Los que pensaron que se hicieron millonarios con el error de la Chivo Wallet: 🤡 Así quedaron","2021-10-20 00:19 +0000","372.0","32.0","0.08602150537634409","0.0","4.0","5.0","1.0","0.0","0.0","22.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1450492152534999044","https://twitter.com/rdvillal/status/1450492152534999044","@mxgxw_gamma Estimado pueblo salvadoreño, devuelva lo robado, devuelva lo robado, devuelva lo robado","2021-10-19 16:00 +0000","921.0","14.0","0.01520086862106406","1.0","1.0","9.0","1.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1449943151934951428","https://twitter.com/rdvillal/status/1449943151934951428","Ríe y el mundo reirá contigo. Llora y llorarás solo","2021-10-18 03:39 +0000","242.0","13.0","0.05371900826446281","1.0","1.0","3.0","2.0","0.0","0.0","6.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1449484248881274881","https://twitter.com/rdvillal/status/1449484248881274881","Mejor que nos devuelvan la Isla Conejo https://t.co/v6hvjgD2Ik","2021-10-16 21:15 +0000","179.0","1.0","0.00558659217877095","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1448384794178510859","https://twitter.com/rdvillal/status/1448384794178510859","Envíen las huestes golondrinas a la Isla Conejo, no podemos dejar pasar humillaciones de esta magnitud. Ya instalaron un puesto de baleadas. Y aceptan Bitcoin como pago…","2021-10-13 20:26 +0000","210.0","8.0","0.0380952380952381","0.0","1.0","1.0","0.0","0.0","0.0","6.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1448379285148995589","https://twitter.com/rdvillal/status/1448379285148995589","A lo mejor la Isla Conejo es un paraíso fiscal","2021-10-13 20:05 +0000","179.0","12.0","0.0670391061452514","1.0","1.0","4.0","1.0","0.0","0.0","5.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1448003936644968452","https://twitter.com/rdvillal/status/1448003936644968452","En la cocina hay olor a gas","2021-10-12 19:13 +0000","114.0","2.0","0.017543859649122806","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1448003464454447113","https://twitter.com/rdvillal/status/1448003464454447113","El nivel de endeudamiento del país nos ha hecho elegibles para el juego del calamar (?)","2021-10-12 19:11 +0000","124.0","3.0","0.024193548387096774","0.0","0.0","2.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1448000618522718208","https://twitter.com/rdvillal/status/1448000618522718208","Después del hospital sigue el voto animal","2021-10-12 19:00 +0000","79.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
